,승인번호,차변계정과목,차변금액,적요,거래처명,프로젝트명,사용부서명,귀속월,본부명,,차변계정과목,1 월,2 월,3 월,4 월,5 월,6 월,계,검증,좌 합계,"  1,201,262,073 "
2026-01-01,23,[6300000]소모품비,"456,526",마운틴카트 스피드컨트롤리모콘부품(€235*1739.32)/선급금->소모품,FACERACER LTD,마운틴카트,레저사업본부,01,레저,,[1460000]상품,"  3,686,786 ","  2,966,321 ","  5,215,002 ","  9,979,288 ","  8,980,843 ",  - ,"  30,828,240 ",,우 합계,"  1,201,262,073 "
2026-01-01,12,[6300000]소모품비,"47,153","01월미디어업장토큰구입1,000개",WWW.ALIEXPRESS.COM     LONDON        GBR,미디어아트센터,레저사업본부,01,레저,,[4510000]상품매출원가,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,차이,  - 
2026-01-01,13,[6300000]소모품비,"20,545",01월미디어아트미끄럼방지테이프구입2개,네이버파이낸셜주식회사,미디어아트센터,레저사업본부,01,레저,,[6010000]식재료비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-03,12,[6140000]통신비,"30,000",ser앱마케팅업무용(디지털지원/4084),에스케이텔레콤(주),디지털지원팀,레저사업본부,01,레저,,[6020000]외주비,  - ,  - ,  - ,  - ,  - ,- 1 ,- 1 ,,,
2026-01-03,12,[6140000]통신비,"50,000",ser앱안드로이드개발및테스트용(디지털지원팀/4781),에스케이텔레콤(주),디지털지원팀,레저사업본부,01,레저,,[6030000]급여,"  103,728,230 ","  82,270,700 ","  86,934,470 ","  97,400,070 ","  98,050,095 ","  99,511,325 ","  567,894,890 ",,,
2026-01-03,12,[6140000]통신비,"39,091",ser앱애플개발및테스트용(디지털지원팀/4784),에스케이텔레콤(주),디지털지원팀,레저사업본부,01,레저,,[6040000]잡급,"  16,395,000 ","  22,057,500 ","  18,917,800 ","  13,762,500 ","  24,187,500 ","  17,637,500 ","  112,957,800 ",,,
2026-01-03,10,[6300000]소모품비,"3,636",사업장 운영을 위한 현장 소모품 구입,블랙스톤벨포레,레저사업본부,레저사업본부,01,레저,,[6090000]퇴직급여,"  58,882,160 ","  2,584,100 ",  - ,  - ,  - ,  - ,"  61,466,260 ",,,
2026-01-03,12,[6140000]통신비,"30,000",고객응대(액티비티/3825),에스케이텔레콤(주),마운틴카트,레저사업본부,01,레저,,[6110000]복리후생비,"  186,913 ","  2,709,828 ","  1,010,687 ","  1,943,909 ","  1,323,625 ","  659,068 ","  7,834,030 ",,,
2026-01-03,8,[6300000]소모품비,"43,636",01월목장리틀팜고객용손소독제구입20개,한국정보통신（주）,목장/체험,레저사업본부,01,레저,,[6110003]복리후생비_건강보험,"  4,088,669 ","  3,318,803 ","  3,167,758 ","  5,298,184 ","  3,442,835 ","  3,508,415 ","  22,824,664 ",,,
2026-01-03,13,[6140000]통신비,"75,750",얼룩말카페,에스케이브로드밴드(주),얼룩말카페,레저사업본부,01,레저,,[6110007]복리후생비_식대,"  3,376,362 ","  3,414,543 ","  3,747,271 ","  3,556,362 ","  3,943,634 ","  3,589,091 ","  21,627,263 ",,,
